date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2012-11-29,146.14999389648438,2.091900110244751,333,1.0,22.77916666666667,30.6,16.8,68.0
2012-11-30,142.10000610351562,2.095599889755249,334,0.0,22.675,29.4,16.1,60.208333333333336
2012-12-03,141.6999969482422,2.1338999271392822,337,34.800000000000004,20.775,27.3,16.5,80.79166666666667
2012-12-04,137.35000610351562,2.1191000938415527,338,0.0,23.5625,29.3,18.1,70.0
2012-12-05,139.60000610351562,2.118299961090088,339,0.0,24.7625,30.5,19.6,60.54166666666666
2012-12-06,140.4499969482422,2.087100028991699,340,30.0,23.15833333333333,29.4,18.1,76.33333333333333
2012-12-07,142.10000610351562,2.0759999752044678,341,0.0,25.29583333333333,31.7,19.2,67.29166666666667
2012-12-10,138.10000610351562,2.073499917984009,344,9.4,23.20416666666667,29.9,18.6,80.25
2012-12-11,141.14999389648438,2.076200008392334,345,0.0,23.79583333333333,29.0,20.1,76.04166666666667
2012-12-12,138.14999389648438,2.0755999088287354,346,15.0,21.8125,30.4,18.2,81.91666666666667
2012-12-13,135.25,2.0703999996185303,347,0.6000000000000001,22.512499999999992,30.4,18.2,82.20833333333333
2012-12-14,137.39999389648438,2.0843000411987305,348,23.4,21.700000000000003,27.6,18.8,91.33333333333331
2012-12-17,137.9499969482422,2.085099935531616,351,10.8,20.9875,27.4,18.6,90.75
2012-12-18,133.5,2.095099925994873,352,0.0,22.95416666666667,30.1,17.8,76.625
2012-12-19,144.89999389648438,2.0880000591278076,353,4.800000000000001,21.754166666666663,29.3,18.6,84.875
2012-12-20,142.9499969482422,2.069200038909912,354,0.0,23.379166666666663,31.4,17.7,74.20833333333333
2012-12-21,146.60000610351562,2.0692999362945557,355,1.6,23.42916666666666,31.7,19.8,78.29166666666667
2012-12-24,147.0,2.056299924850464,358,0.0,23.745833333333334,31.0,18.8,73.70833333333333
2012-12-26,148.3000030517578,2.0771000385284424,360,0.0,24.88333333333333,31.3,19.0,67.70833333333333
